# Generated by jKQL Command Console at: Jun 2, 2021 9:26:56 AM
CFG,RelDates=false
HDR,Dataset,ValueTypes,Properties,DatasetID,UpdateTime,DatasetName
ROW,Dataset,,"(I:'elapsedtime'=14001,S:'name'='AcceptOrder',T:'starttime'=1483246800000000)",'f80cb352-bf2c-11eb-9888-7629afde2223',1622148542612367,'AnomalyDetectionDataset'
ROW,Dataset,,"(I:'elapsedtime'=14047,S:'name'='AcceptOrder',T:'starttime'=1483333200000000)",'f8112023-bf2c-11eb-9888-7629afde2223',1622148542630560,'AnomalyDetectionDataset'
ROW,Dataset,,"(I:'elapsedtime'=14149,S:'name'='AcceptOrder',T:'starttime'=1483419600000000)",'f813df44-bf2c-11eb-9888-7629afde2223',1622148542648622,'AnomalyDetectionDataset'
ROW,Dataset,,"(I:'elapsedtime'=13937,S:'name'='AcceptOrder',T:'starttime'=1483506000000000)",'f815db15-bf2c-11eb-9888-7629afde2223',1622148542661642,'AnomalyDetectionDataset'
ROW,Dataset,,"(I:'elapsedtime'=13965,S:'name'='AcceptOrder',T:'starttime'=1483592400000000)",'f817afd6-bf2c-11eb-9888-7629afde2223',1622148542674806,'AnomalyDetectionDataset'
ROW,Dataset,,"(I:'elapsedtime'=14148,S:'name'='AcceptOrder',T:'starttime'=1483678800000000)",'f819d2b7-bf2c-11eb-9888-7629afde2223',1622148542686993,'AnomalyDetectionDataset'
ROW,Dataset,,"(I:'elapsedtime'=13968,S:'name'='AcceptOrder',T:'starttime'=1483765200000000)",'f81b8068-bf2c-11eb-9888-7629afde2223',1622148542698194,'AnomalyDetectionDataset'
ROW,Dataset,,"(I:'elapsedtime'=14152,S:'name'='AcceptOrder',T:'starttime'=1483851600000000)",'f81d5529-bf2c-11eb-9888-7629afde2223',1622148542710050,'AnomalyDetectionDataset'
ROW,Dataset,,"(I:'elapsedtime'=13889,S:'name'='AcceptOrder',T:'starttime'=1483938000000000)",'f81f02da-bf2c-11eb-9888-7629afde2223',1622148542722457,'AnomalyDetectionDataset'
ROW,Dataset,,"(I:'elapsedtime'=14019,S:'name'='AcceptOrder',T:'starttime'=1484024400000000)",'f82173db-bf2c-11eb-9888-7629afde2223',1622148542736816,'AnomalyDetectionDataset'
ROW,Dataset,,"(I:'elapsedtime'=13994,S:'name'='AcceptOrder',T:'starttime'=1484110800000000)",'f82396bc-bf2c-11eb-9888-7629afde2223',1622148542749671,'AnomalyDetectionDataset'
ROW,Dataset,,"(I:'elapsedtime'=14011,S:'name'='AcceptOrder',T:'starttime'=1484197200000000)",'f8251d5d-bf2c-11eb-9888-7629afde2223',1622148542760023,'AnomalyDetectionDataset'
ROW,Dataset,,"(I:'elapsedtime'=13893,S:'name'='AcceptOrder',T:'starttime'=1484283600000000)",'f826cb0e-bf2c-11eb-9888-7629afde2223',1622148542772270,'AnomalyDetectionDataset'
ROW,Dataset,,"(I:'elapsedtime'=13872,S:'name'='AcceptOrder',T:'starttime'=1484370000000000)",'f828edef-bf2c-11eb-9888-7629afde2223',1622148542785642,'AnomalyDetectionDataset'
ROW,Dataset,,"(I:'elapsedtime'=13860,S:'name'='AcceptOrder',T:'starttime'=1484456400000000)",'f82ac1b0-bf2c-11eb-9888-7629afde2223',1622148542798084,'AnomalyDetectionDataset'
ROW,Dataset,,"(I:'elapsedtime'=13957,S:'name'='AcceptOrder',T:'starttime'=1484542800000000)",'f82c6f61-bf2c-11eb-9888-7629afde2223',1622148542808594,'AnomalyDetectionDataset'
ROW,Dataset,,"(I:'elapsedtime'=13863,S:'name'='AcceptOrder',T:'starttime'=1484629200000000)",'f82d59c2-bf2c-11eb-9888-7629afde2223',1622148542820867,'AnomalyDetectionDataset'
ROW,Dataset,,"(I:'elapsedtime'=14032,S:'name'='AcceptOrder',T:'starttime'=1484715600000000)",'f82ff1d3-bf2c-11eb-9888-7629afde2223',1622148542832364,'AnomalyDetectionDataset'
ROW,Dataset,,"(I:'elapsedtime'=14006,S:'name'='AcceptOrder',T:'starttime'=1484802000000000)",'f83214b4-bf2c-11eb-9888-7629afde2223',1622148542846034,'AnomalyDetectionDataset'
ROW,Dataset,,"(I:'elapsedtime'=13872,S:'name'='AcceptOrder',T:'starttime'=1484888400000000)",'f8341085-bf2c-11eb-9888-7629afde2223',1622148542859007,'AnomalyDetectionDataset'
ROW,Dataset,,"(I:'elapsedtime'=14099,S:'name'='AcceptOrder',T:'starttime'=1484974800000000)",'f8360c56-bf2c-11eb-9888-7629afde2223',1622148542872030,'AnomalyDetectionDataset'
ROW,Dataset,,"(I:'elapsedtime'=14140,S:'name'='AcceptOrder',T:'starttime'=1485061200000000)",'f837e117-bf2c-11eb-9888-7629afde2223',1622148542883576,'AnomalyDetectionDataset'
ROW,Dataset,,"(I:'elapsedtime'=13883,S:'name'='AcceptOrder',T:'starttime'=1485147600000000)",'f839dce8-bf2c-11eb-9888-7629afde2223',1622148542896917,'AnomalyDetectionDataset'
ROW,Dataset,,"(I:'elapsedtime'=14062,S:'name'='AcceptOrder',T:'starttime'=1485234000000000)",'f83cea29-bf2c-11eb-9888-7629afde2223',1622148542918828,'AnomalyDetectionDataset'
ROW,Dataset,,"(I:'elapsedtime'=14062,S:'name'='AcceptOrder',T:'starttime'=1485320400000000)",'f8401e7a-bf2c-11eb-9888-7629afde2223',1622148542940036,'AnomalyDetectionDataset'
ROW,Dataset,,"(I:'elapsedtime'=14019,S:'name'='AcceptOrder',T:'starttime'=1485406800000000)",'f842686b-bf2c-11eb-9888-7629afde2223',1622148542953927,'AnomalyDetectionDataset'
ROW,Dataset,,"(I:'elapsedtime'=14174,S:'name'='AcceptOrder',T:'starttime'=1485493200000000)",'f844d96c-bf2c-11eb-9888-7629afde2223',1622148542968373,'AnomalyDetectionDataset'
ROW,Dataset,,"(I:'elapsedtime'=14054,S:'name'='AcceptOrder',T:'starttime'=1485579600000000)",'f847235d-bf2c-11eb-9888-7629afde2223',1622148542983356,'AnomalyDetectionDataset'
ROW,Dataset,,"(I:'elapsedtime'=14069,S:'name'='AcceptOrder',T:'starttime'=1485666000000000)",'f848f81e-bf2c-11eb-9888-7629afde2223',1622148542995301,'AnomalyDetectionDataset'
ROW,Dataset,,"(I:'elapsedtime'=14038,S:'name'='AcceptOrder',T:'starttime'=1485752400000000)",'f84a7ebf-bf2c-11eb-9888-7629afde2223',1622148543005190,'AnomalyDetectionDataset'
ROW,Dataset,,"(I:'elapsedtime'=14000,S:'name'='AcceptOrder',T:'starttime'=1485838800000000)",'f84c7a90-bf2c-11eb-9888-7629afde2223',1622148543018378,'AnomalyDetectionDataset'
ROW,Dataset,,"(I:'elapsedtime'=0,S:'name'='AcceptOrder',T:'starttime'=1485925200000000)",'f84e2841-bf2c-11eb-9888-7629afde2223',1622148543029106,'AnomalyDetectionDataset'
